ID,Reference,figure number,Ichnogenus,Period,Epoch,Group,SizeBin,CS,FL-CM
xing 2014b 3,"Xing et al., 2014g",Fig. 9. ZJIIN-T1-L2,NA,Cretaceous,"Cretaceous, Early",Theropoda,The2,35.82,24.09
xing 2014c 1,"Xing et al., 2014a",Fig. 9 B (SSIB59),Changpeipus,Jurassic,"Jurassic, Middle",Theropoda,The3,46.76,33.15
xing 2014c 2,"Xing et al., 2014a",Fig. 12E (ZLJ-ZQK2),Changpeipus,Jurassic,"Jurassic, Early",Theropoda,The2,37.94,25.51
xing 2014d 1,"Xing et al., 2014d",Fig. 5 (XYT1),Jialingpus,Cretaceous,"Cretaceous, Early",Theropoda,The1,15.85,10.7
xing 2014d 2,"Xing et al., 2014d",Fig. 5 (XYT2),Jialingpus,Cretaceous,"Cretaceous, Early",Theropoda,The1,13.74,9.3
xing 2014d 3,"Xing et al., 2014d",Fig. 5 (DJP4),Jialingpus,Cretaceous,"Cretaceous, Early",Theropoda,The1,20.69,15.17
xing 2014d 4,"Xing et al., 2014d",Fig. 7 (XYT7),Jialingpus,Cretaceous,"Cretaceous, Early",Theropoda,The1,20.96,14.81
xing 2014d 5,"Xing et al., 2014d",Fig. 8 (IVPP DT2),Jialingpus,Jurassic,"Jurassic, Late",Theropoda,The1,25.48,19.07
xing 2014d 6,"Xing et al., 2014d",Fig. 8 (IVPP DT1),Jialingpus,Jurassic,"Jurassic, Late",Theropoda,The1,19.37,14.5
xing 2014d 7,"Xing et al., 2014d",Fig. 8 (CU 199-36),Jialingpus,Jurassic,"Jurassic, Late",Theropoda,The1,11.27,8.65
xing 2014e 1,"Xing et al., 2014h",Fig. 5 A,NA,Jurassic,"Jurassic, Early",Theropoda,The1,13.33,9.88
xing 2014f 1,"Xing et al., 2014f",Fig. 6 F,Paracorpulentapus,Cretaceous,"Cretaceous, Late",Theropoda,The2,28.63,15.98
xing 2014f 2,"Xing et al., 2014f",Fig. 6 D,NA,Cretaceous,"Cretaceous, Late",Theropoda,The1,24.34,16.77
xing 2014g 1,"Xing et al., 2014b",Fig. 2,NA,Cretaceous,"Cretaceous, Early",Theropoda,The1,17.21,11.44
xing 2014h 1,"Xing et al., 2014b",Fig. 3 B,NA,Jurassic,"Jurassic, Early",Theropoda,The1,16.01,9.85
xing 2014i 1,"Xing and Lockley, 2014",Fig. 7,Ornithopodichnus,Cretaceous,"Cretaceous, Early",Ornithischia,Orn1,25.16,12.6
xing 2015 1,"Xing et al., 2015c",Fig. 5B,NA,Cretaceous,"Cretaceous, Early",Theropoda,The2,37.77,25.53
xing 2015b 1,"Xing et al., 2015a",Fig. 6 (upper left),Caririchnium,Cretaceous,"Cretaceous, Early",Ornithischia,Orn3,56.59,33.78
xing 2015b 2,"Xing et al., 2015a",Fig. 6 (upper middle),Caririchnium,Cretaceous,"Cretaceous, Early",Ornithischia,Orn2,34.8,18.58
xing 2015b 3,"Xing et al., 2015a","Fig. 6 (middle, left)",Caririchnium,Cretaceous,"Cretaceous, Early",Ornithischia,Orn3,63.81,38.64
xing 2015b 4,"Xing et al., 2015a",Fig. 6 (upper right),Caririchnium,Cretaceous,"Cretaceous, Early",Ornithischia,Orn3,77.26,42.61
xing 2015c 1,"Xing et al., 2015d",Fig. 7B,Caririchnium,Cretaceous,"Cretaceous, Early",Ornithischia,Orn2,35.26,21.19
xing 2015d 1,"Xing et al., 2015b",Fig. 5 HI3,NA,Jurassic,"Jurassic, Middle",Theropoda,The3,53.68,34
xing 2015d 2,"Xing et al., 2015b",Fig. 7B (bottom),Anomoepus,Jurassic,"Jurassic, Middle",Ornithischia,Orn1,14.22,7.55
xing 2016 1,"Xing et al., 2016d",Fig. 3 B (O9-L1),Caririchnium,Cretaceous,"Cretaceous, Early",Ornithischia,Orn2,52.19,28.24
xing 2016b 1,"Xing et al., 2016c",Fig. 6 (left),Shenmuichnus,Jurassic,"Jurassic, Early",Ornithischia,Orn2,36.46,19.08
xing 2016b 2,"Xing et al., 2016c",Fig. 6 (right),Shenmuichnus,Jurassic,"Jurassic, Early",Ornithischia,Orn2,36.31,18.59
xing 2016b 3,"Xing et al., 2016c","Fig. 7 (right, center)",Changpeipus,Jurassic,"Jurassic, Early",Theropoda,The3,53.19,33.81
xing 2016c 1,"Xing et al., 2016a",Fig. 2c,Anomoepus,Jurassic,"Jurassic, Early",Ornithischia,Orn1,9.53,5.53
xing 2016d 1,"Xing et al., 2017a",Fig. 4C,Anomoepus,Jurassic,"Jurassic, Early",Ornithischia,Orn1,10.71,4.33
xing 2016d 2,"Xing et al., 2017a",Fig. 5C,Anomoepus,Jurassic,"Jurassic, Early",Ornithischia,Orn1,15.99,8.18
xing 2016e 1,"Xing et al., 2016e",Fig. 3 (first track),Anomoepus,Jurassic,"Jurassic, Middle",Ornithischia,Orn1,14.41,9.67
xing 2016f 1,"Xing et al., 2016b",Fig. 6B,Anomoepus,Jurassic,"Jurassic, Early",Ornithischia,Orn1,19.82,10.03
xing 2016f 2,"Xing et al., 2016b",Fig. 7 (O2-R1),Anomoepus,Jurassic,"Jurassic, Early",Ornithischia,Orn1,17.49,9.6
xing 2016g 1,"Xing et al., 2016f",Fig. 3B (YMZ-T11-L2),Minisauripus,Cretaceous,"Cretaceous, Early",Theropoda,The1,4,2.64
xing 2016g 2,"Xing et al., 2016f",Fig. 3B (YMZ-T13-R1),Minisauripus,Cretaceous,"Cretaceous, Early",Theropoda,The1,3.89,2.65
xing 2016g 3,"Xing et al., 2016f",Fig. 5B (bottom),NA,Cretaceous,"Cretaceous, Early",Theropoda,The1,24.42,17.77
xing 2017 1,"Xing et al., 2017b",Fig. 6F,NA,Cretaceous,"Cretaceous, Late",Ornithischia,Orn3,103.89,51.52
xing 2017 2,"Xing et al., 2017b",Fig. 7B (second track),NA,Cretaceous,"Cretaceous, Late",Ornithischia,Orn2,35.18,19.58
zhen 1986 1,"Zhen et al., 1986",Fig. 5,Schizograllator,Jurassic,"Jurassic, Early",Theropoda,The2,44.37,27.21
