ID,Reference,figure number,Ichnogenus,Period,Epoch,Group,SizeBin,CS,FL-CM
lockley 1998b 1,"Lockley et al., 1998b",Fig. 11 (left),Megalosauripus,Jurassic,"Jurassic, Late",Theropoda,The3,57.45,40.06
lockley 1998b 2,"Lockley et al., 1998b",Fig. 8 (upper right),Megalosauripus,Jurassic,"Jurassic, Late",Theropoda,The3,59.64,39.69
lockley 1998b 3,"Lockley et al., 1998b",Fig. 8 (lower left),Megalosauripus,Jurassic,"Jurassic, Late",Theropoda,The3,51.56,38.33
lockley 1998b 4,"Lockley et al., 1998b",Fig. 8 (lower right),Megalosauripus,Jurassic,"Jurassic, Late",Theropoda,The3,77.02,52.67
lockley 1998c 1,"Lockley et al., 1998c",Fig. 1A,Therangospodus,Jurassic,"Jurassic, Late",Theropoda,The2,32.06,22.13
lockley 1998c 2,"Lockley et al., 1998c",Fig. 6E,Therangospodus,Jurassic,"Jurassic, Late",Theropoda,The2,34.77,24.3
lockley 1998c 3,"Lockley et al., 1998c",Fig. 6F,Therangospodus,Jurassic,"Jurassic, Late",Theropoda,The2,36.92,26.1
lockley 1998c 4,"Lockley et al., 1998c",Fig. 6G,Therangospodus,Jurassic,"Jurassic, Late",Theropoda,The2,34.99,26.07
lockley 1998c 5,"Lockley et al., 1998c",Fig. 9,Therangospodus,Jurassic,"Jurassic, Late",Theropoda,The2,36.51,21.97
lockley 1998d 1,"Lockley et al., 1998a",Fig. 8,Grallator,NA,NA,Theropoda,The1,17.23,11.21
lockley 2000 1,"Lockley et al., 2000",Fig. 7 left (second track),NA,Cretaceous,NA,Ornithischia,Orn2,32.63,19.44
lockley 2001 1,"Lockley et al., 2001","Fig. 30.4 (left, first track)",NA,Cretaceous,"Cretaceous, Early",Ornithischia,Orn3,74.76,39.88
lockley 2001 2,"Lockley et al., 2001",Fig. 30.4 (upper right),NA,Cretaceous,"Cretaceous, Early",Ornithischia,Orn3,69,39.98
lockley 2001 3,"Lockley et al., 2001","Fig. 30.4 (lower right, second track) ",NA,Cretaceous,"Cretaceous, Early",Ornithischia,Orn3,58.46,28.21
lockley 2002b 1,"Lockley et al., 2002",Fig. 6A (uppermost track),NA,Cretaceous,"Cretaceous, Late",NA,NA,32.21,16.33
lockley 2003 1,"Lockley et al., 2003",Fig. 8 (first track),Hadrosauropodus,Cretaceous,"Cretaceous, Late",Ornithischia,Orn3,133.36,72.72
lockley 2004 1,"Lockley et al., 2004","Fig. 7 (upper right, track 2)",Iguanodontipus,Cretaceous,"Cretaceous, Early",Ornithischia,Orn3,56.64,30.17
lockley 2006 2,"Lockley and Gierliński, 2006",Fig. 5A (second track),Grallator,Jurassic,"Jurassic, Early",Theropoda,The2,26.97,19.32
lockley 2006b 1,"Lockley et al., 2006b",Fig. 5A,Siamopodus,Cretaceous,"Cretaceous, Early",Theropoda,The3,47.72,29.79
lockley 2006b 2,"Lockley et al., 2006b",Fig. 7A,NA,Cretaceous,"Cretaceous, Early",Theropoda,The3,66.02,39.27
lockley 2006c 1,"Lockley et al., 2006a",Fig. 6B,Kayentapus,Jurassic,"Jurassic, Early",Theropoda,The3,70.76,41.88
lockley 2006c 2,"Lockley et al., 2006a",Fig. 6C,Eubrontes,Jurassic,"Jurassic, Early",Theropoda,The3,53.69,37.22
lockley 2007 1,"Lockley et al., 2007",Fig. 7B,Grallator,Jurassic,"Jurassic, Early",Theropoda,The1,9.08,7.25
lockley 2007 2,"Lockley et al., 2007",Fig. 7B,Grallator,Jurassic,"Jurassic, Early",Theropoda,The1,9.12,6.95
lockley 2008 1,"Lockley et al., 2008",Fig. 4D,NA,Jurassic,"Jurassic, Late",Theropoda,The1,17,12.41
lockley 2008 2,"Lockley et al., 2008",Fig. 4G,NA,Jurassic,"Jurassic, Late",Theropoda,The1,20.47,15.66
lockley 2008 3,"Lockley et al., 2008",Fig. 7B,Hispanosauropus,Jurassic,"Jurassic, Late",Theropoda,The3,50.18,32.21
lockley 2008 4,"Lockley et al., 2008",Fig. 7F,Hispanosauropus,Jurassic,"Jurassic, Late",Theropoda,The3,81.63,56.97
lockley 2008b 1,"Lockley et al., 2008",Fig. 3,Minisauripus,Cretaceous,"Cretaceous, Late",Theropoda,The1,3.48,2.46
lockley 2008b 2,"Lockley et al., 2008",Fig. 6 (left detail),Minisauripus,Cretaceous,"Cretaceous, Early",Theropoda,The1,4.36,3.35
lockley 2008b 3,"Lockley et al., 2008",Fig. 6 (right detail),Minisauripus,Cretaceous,"Cretaceous, Early",Theropoda,The1,4.09,3.18
lockley 2008b 4,"Lockley et al., 2008",Fig. 10 (A),Minisauripus,Cretaceous,"Cretaceous, Early",Theropoda,The1,6.76,5.13
lockley 2009 1,"Lockley et al., 2009",Fig. 7A (third track),NA,NA,NA,Ornithischia,Orn2,33.49,21.54
lockley 2009 2,"Lockley et al., 2009","Fig. 8 (right; upper left, track 6)",Neoanomoepus,Cretaceous,"Cretaceous, Early",Ornithischia,Orn1,18.03,11.41
lockley 2009 3,"Lockley et al., 2009","Fig. 8 (right, upper right, track 2)",Neoanomoepus,Cretaceous,"Cretaceous, Early",Ornithischia,Orn1,17.72,10.66
lockley 2009 4,"Lockley et al., 2009","Fig. 7 (upper, first track)",Dinehichnus,Jurassic,"Jurassic, Early",Ornithischia,Orn2,36.32,21.1
